page_title,gt_lat,gt_lon,gt_type,cl_to
Putsch_de_la_Brasserie,48.1304,11.592,event,Article_de_qualité
Sommets_des_Alpes_de_plus_de_4_000_mètres,45.8325,6.86444,landmark,Article_de_qualité
Université_de_New_York,40.73,-73.995,edu,Article_de_qualité
Caudry,50.1258,3.4125,city,Article_de_qualité
Columbia_(fleuve),50.2167,-115.85,landmark,Article_de_qualité
Pella,40.76,22.5192,city,Article_de_qualité
Parc_national_de_Mammoth_Cave,37.18,-86.15,landmark,Article_de_qualité
Mauna_Kea,19.8207,-155.468,mountain,Article_de_qualité
Parc_national_de_Glacier,48.8,-114.0,landmark,Article_de_qualité
Parc_national_du_mont_Rainier,46.8528,-121.76,landmark,Article_de_qualité
Parc_national_des_North_Cascades,48.7,-121.2,landmark,Article_de_qualité
Mauna_Loa,19.475,-155.608,mountain,Article_de_qualité
Massif_du_Tibesti,21.25,17.75,,Article_de_qualité
Gordes,43.9119,5.20083,city,Article_de_qualité
Palais_des_papes_d'Avignon,43.9508,4.8075,landmark,Article_de_qualité
Sanctuaire_des_Grands_Dieux_de_Samothrace,40.5008,25.5301,landmark,Article_de_qualité
Nicopolis_d'Épire,39.0083,20.7336,landmark,Article_de_qualité
Phare_de_la_Vieille,48.0406,-4.75639,landmark,Article_de_qualité
Basilique_Notre-Dame-de-la-Garde,43.2839,5.37135,landmark,Article_de_qualité
Puncak_Jaya,-4.07888,137.16,mountain,Article_de_qualité
Jean_Robic,47.9394,-2.71804,,Article_de_qualité
Massacre_de_Tulle,45.2672,1.76556,landmark,Article_de_qualité
Livry-Gargan,48.9192,2.53611,city,Article_de_qualité
Ligne_1_du_tramway_d'Île-de-France,48.9303,2.28403,landmark,Article_de_qualité
Ligne_2_du_tramway_d'Île-de-France,48.9146,2.22516,landmark,Article_de_qualité
Ligne_3a_du_tramway_d'Île-de-France,48.8381,2.27116,landmark,Article_de_qualité
Levens,43.8617,7.22528,city,Article_de_qualité
Roazhon_Park,48.1056,-1.69597,,Article_de_qualité
Casa_Batlló,41.3917,2.16491,,Article_de_qualité
Rimogne,49.8415,4.53868,city,Article_de_qualité
Dodone,39.5467,20.7878,landmark,Article_de_qualité
Santamartamys_rufodorsalis,11.1008,-74.072,,Article_de_qualité
Mont_Adams,46.206,-121.49,mountain,Article_de_qualité
Bataille_de_Towton,53.8361,-1.27361,landmark,Article_de_qualité
Pamir,38.5,72.5,mountain,Article_de_qualité
Mont_Kenya,-0.156111,37.3181,mountain,Article_de_qualité
L'Isle-Adam,49.1049,2.23263,landmark,Article_de_qualité
Villeloin-Coulangé,47.1414,1.22417,city,Article_de_qualité
Three_Sisters_(Oregon),44.1033,-121.769,mountain,Article_de_qualité
Surtsey,63.3031,-20.6031,isle,Article_de_qualité
Abbaye_d'Hautecombe,45.8117,5.88963,city,Article_de_qualité
Vasa,59.3279,18.0915,landmark,Article_de_qualité
Ligne_4_du_tramway_d'Île-de-France,48.9319,2.49626,landmark,Article_de_qualité
Dougga,36.4236,9.22028,landmark,Article_de_qualité
Basilique_Saint-Sauveur_de_Rennes,48.1118,-1.68177,landmark,Article_de_qualité
Candé,47.5617,-1.03583,city,Article_de_qualité
Britannic,37.7014,24.2839,landmark,Article_de_qualité
Réservoir_de_Caniapiscau,54.067,-69.817,,Article_de_qualité
Mouriez,50.3403,1.9461,city,Article_de_qualité
Hameau_de_la_Reine,48.8187,2.11292,city,Article_de_qualité
Murray_(fleuve),-36.7961,148.194,landmark,Article_de_qualité
Paris,48.8566,2.35183,city,Article_de_qualité
Éruption_du_mont_Saint_Helens_en_1980,46.2003,-122.187,event,Article_de_qualité
Kīlauea,19.421,-155.287,mountain,Article_de_qualité
Siège_de_Missolonghi,38.3683,21.4283,landmark,Article_de_qualité
Alexanderplatz,52.5219,13.4131,landmark,Article_de_qualité
Monastère_d'Arkadi,35.3099,24.6293,landmark,Article_de_qualité
Bataille_de_Navarin,36.9358,21.6878,landmark,Article_de_qualité
Astroblème_de_Rochechouart-Chassenon,45.8237,0.7741,scale:100000,Article_de_qualité
Massacre_de_Qibya,31.9774,35.0097,city,Article_de_qualité
Mont_Roraima,5.14104,-60.7638,mountain,Article_de_qualité
Parc_du_Thabor,48.1142,-1.67,landmark,Article_de_qualité
Abbaye_de_Chaalis,49.1475,2.68667,landmark,Article_de_qualité
Tramway_de_Strasbourg,48.5447,7.73578,landmark,Article_de_qualité
Bulla_Regia,36.5589,8.75702,landmark,Article_de_qualité
Canal_d'Orléans,48.0275,2.72222,,Article_de_qualité
Grande_Mosquée_de_Kairouan,35.6814,10.1042,landmark,Article_de_qualité
Université_Fordham,40.8608,-73.8844,edu,Article_de_qualité
Bataille_de_Smolensk_(1943),54.7833,32.05,landmark,Article_de_qualité
Poche_de_Falaise,48.8928,-0.191944,landmark,Article_de_qualité
Bataille_de_Fort_Sumter,32.7524,-79.875,landmark,Article_de_qualité
Tunis,36.7975,10.1659,city,Article_de_qualité
Parc_national_de_Fundy,45.6167,-65.0333,landmark,Article_de_qualité
Bataille_d'Adoua,14.0189,38.9733,landmark,Article_de_qualité
Ligne_1_du_métro_de_Lille_Métropole,50.6054,3.13903,landmark,Article_de_qualité
Ligne_2_du_métro_de_Lille_Métropole,50.6446,3.01375,landmark,Article_de_qualité
Mistra,37.0806,22.3667,landmark,Article_de_qualité
Jack_Kerouac,37.7976,-122.406,,Article_de_qualité
Forêt_nationale_de_Shoshone,44.1092,-109.543,forest,Article_de_qualité
Pont_du_Forth,56.0008,-3.38972,landmark,Article_de_qualité
Mary_Rose,50.767,-1.1,,Article_de_qualité
Lure,47.6836,6.4975,city,Article_de_qualité
Forêt_de_Chantilly,49.1666,2.50892,forest,Article_de_qualité
Amphithéâtre_d'El_Jem,35.2964,10.7069,landmark,Article_de_qualité
Abbaye_Saint-Victor_de_Marseille,43.2905,5.36554,landmark,Article_de_qualité
Laboratoire_de_Bure,48.485,5.35611,,Article_de_qualité
Palais_d'Aix-la-Chapelle,50.7756,6.08389,landmark,Article_de_qualité
Expédition_Endurance,-69.0,-51.5,,Article_de_qualité
Opération_Spring,49.1104,-0.33236,event,Article_de_qualité
Expédition_Nimrod,-72.25,155.267,,Article_de_qualité
Synagogue_de_Doura_Europos,34.7474,40.7272,,Article_de_qualité
Complexe_funéraire_de_Djéser,29.8711,31.2163,landmark,Article_de_qualité
Pavillon_français,48.8152,2.10747,,Article_de_qualité
École_polytechnique_(France),48.713,2.209,edu,Article_de_qualité
Karabane,12.5378,-16.7008,isle,Article_de_qualité
Synagogue_de_Besançon,47.2406,6.02086,landmark,Article_de_qualité
Bèze_(rivière),47.4706,5.27056,landmark,Article_de_qualité
Lauttasaari,60.16,24.87,isle,Article_de_qualité
Exposition_universelle_de_1992,37.4058,-6.0056,landmark,Article_de_qualité
Port-Royal_des_Champs,48.7477,2.01825,landmark,Article_de_qualité
Bataille_de_Khalkhin_Gol,47.7303,118.59,landmark,Article_de_qualité
Parc_national_de_Kejimkujik,44.3861,-65.2931,landmark,Article_de_qualité
Réserve_naturelle_nationale_des_sagnes_de_La_Godivelle,45.3844,2.92361,landmark,Article_de_qualité
Siège_de_Tripolizza,37.5167,22.3833,landmark,Article_de_qualité
Parc_national_de_Fulufjället,61.5833,12.6667,landmark,Article_de_qualité
Site_archéologique_de_Carthage,36.8561,10.315,,Article_de_qualité
Monument_de_la_Liberté,56.9516,24.1132,,Article_de_qualité
Mont_Garibaldi,49.8506,-123.005,mountain,Article_de_qualité
Base_sous-marine_de_Lorient,47.7292,-3.37028,landmark,Article_de_qualité
Montagnes_de_Wicklow,53.083,-6.33,mountain,Article_de_qualité
École_des_arts_industriels_et_des_mines,50.6379,3.06936,edu,Article_de_qualité
Grand_Prix_automobile_de_Monaco_2008,43.7347,7.42056,,Article_de_qualité
Bataille_de_Latroun_(1948),31.8384,34.9808,landmark,Article_de_qualité
Duchesse_Anne_(trois-mâts_carré),51.0376,2.37228,,Article_de_qualité
Antarctique,-68.83,-90.583,,Article_de_qualité
Bataille_de_la_crête_de_Verrières,49.1104,-0.33236,landmark,Article_de_qualité
Mont_Cayley,50.1203,-123.291,mountain,Article_de_qualité
Opération_Perch,49.0833,-0.65,landmark,Article_de_qualité
Embuscade_d'Uzbin,34.6,69.733,,Article_de_qualité
Attaques_allemandes_sur_Nauru,-0.534396,166.912,landmark,Article_de_qualité
Pont_George-V,47.8967,1.90417,landmark,Article_de_qualité
Assassinat_d'Abraham_Lincoln,38.8964,-77.0256,landmark,Article_de_qualité
Joseph_Priestley_House,40.8903,-76.79,landmark,Article_de_qualité
